"name","birthdate","date_ordained","date_left","age_ordained","age_left","president","age_aps_1","age_aps_2","age_aps_3","age_aps_4","age_aps_5","age_aps_6","age_aps_7","age_aps_8","age_aps_9","age_aps_10","age_aps_11","age_aps_12","age_aps_13","age_aps_14","min_other_aps","num_younger_aps","birth_year"
"David Whitmer",1805-01-07,1829-06-01,NA,24,NA,"No",24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,4,1805
"Hyrum Smith",1800-02-09,1841-01-24,NA,41,NA,"No",39,39,33,29,41,32,23,33,36,33.8888888888889,33.8888888888889,33.8888888888889,33.8888888888889,33.8888888888889,23,13,1800
"J. Reuben Clark",1871-09-01,1934-10-11,NA,63,NA,"No",72,64,61,73,58,55,63,61,62,66,69,64,64,64,55,5,1871
"Jedediah M. Grant",1816-02-21,1854-04-07,NA,38,NA,"No",46,45,36,47,43,44,35,33,40,41,41,41,41,41,33,3,1816
"Joseph Angell Young",1834-10-14,1864-02-04,NA,30,NA,"No",55,46,56,52,54,45,42,49,37,48.4444444444444,48.4444444444444,48.4444444444444,48.4444444444444,48.4444444444444,37,0,1834
"Joseph Smith",1805-12-23,1830-04-06,NA,25,NA,"Yes",25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4,1805
"Martin Harris",1783-05-18,1837-01-01,NA,54,NA,"No",35,35,25,37,25,29,31,30,25,29,36,25,30.1666666666667,30.1666666666667,25,14,1783
"Oliver Cowdery",1806-10-03,1830-04-06,NA,24,NA,"No",24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,4,1806
"Abraham H. Cannon",1859-03-12,1889-10-07,1896-07-19,30,37,"No",68,74,45,47,49,41,57,32,45,57,51.5,51.5,51.5,51.5,32,0,1859
"Abraham O. Woodruff",1872-11-23,1897-10-07,1904-06-20,25,32,"No",76,57,49,65,40,53,65,39,55.5,55.5,55.5,55.5,55.5,55.5,39,0,1872
"Adam S. Bennion",1886-12-02,1953-04-09,1958-02-11,67,72,"No",76,77,54,53,58,52,55,63,56,55,67,60.5454545454545,60.5454545454545,60.5454545454545,52,11,1886
"Albert Carrington",1813-01-08,1870-07-03,1873-06-08,57,60,"No",61,63,60,51,49,56,43,33,52,52,52,52,52,52,33,11,1813
"Albert E. Bowen",1875-10-31,1937-04-08,1953-07-15,62,78,"No",75,67,76,60,57,66,64,65,68,71,66.9,66.9,66.9,66.9,57,2,1875
"Alonzo A. Hinckley",1870-04-23,1934-10-11,1936-12-22,64,66,"No",72,64,61,73,58,55,63,61,62,66,69,64,64,64,55,6,1870
"Alvin R. Dyer",1903-01-01,1970-01-18,1976-10-01,67,73,"No",93,70,70,74,69,73,72,83,63,62,59,42,69.1666666666667,69.1666666666667,42,4,1903
"Amasa Lyman",1813-03-30,1842-08-20,1843-01-20,29,30,"No",41,41,35,30,43,33,25,35,38,46,36.7,36.7,36.7,36.7,25,1,1813
"Anthon H. Lund",1844-05-15,1889-10-07,1901-10-17,45,57,"No",68,74,45,47,49,41,57,32,30,57,50,50,50,50,30,3,1844
"Anthony W. Ivins",1852-09-16,1907-10-06,1921-03-10,55,69,"No",67,59,50,45,35,37,75,34,46,52,50,50,50,50,34,11,1852
"Boyd K. Packer",1924-09-10,1970-04-06,2015-07-03,46,91,"No",70,75,69,73,72,84,64,62,59,42,67,67,67,67,42,1,1924
"Brigham Young",1801-06-01,1835-02-14,1847-12-27,34,46,"Yes",33,23,28,28,28,28,28,28,28,28,28,28,28,28,23,14,1801
"Brigham Young Jr.",1836-12-18,1868-10-09,1873-06-08,32,37,"No",59,61,57,59,49,47,54,41,53.375,53.375,53.375,53.375,53.375,53.375,41,0,1836
"Bruce R. McConkie",1915-07-29,1972-10-12,1985-04-19,57,70,"No",73,77,71,75,86,64,62,45,69,48,57,66.0909090909091,66.0909090909091,66.0909090909091,45,2,1915
"Charles A. Callis",1865-05-04,1933-10-12,1947-01-21,68,82,"No",71,63,60,72,57,54,62,60,61,65,62.5,62.5,62.5,62.5,54,12,1865
"Charles C. Rich",1809-08-21,1849-02-12,1883-11-17,40,74,"No",41,40,31,41,37,30,27,34,35.125,35.125,35.125,35.125,35.125,35.125,27,11,1809
"Charles W. Penrose",1832-02-04,1904-07-07,1911-12-07,72,79,"No",64,55,72,47,71,45,42,32,34,51.3333333333333,51.3333333333333,51.3333333333333,51.3333333333333,51.3333333333333,32,13,1832
"D. Todd Christofferson",1945-01-24,2008-04-05,2024-10-15,63,79,"No",83,85,83,75,79,90,79,75,67,74,55,67,67,75.3076923076923,55,1,1945
"Dale G. Renlund",1952-11-13,2015-10-03,2024-10-15,63,72,"No",91,83,86,83,74,82,63,74,75,70,64,60,64,74.5384615384615,60,1,1952
"Dallin H. Oaks",1932-08-12,1984-05-03,2024-10-15,52,92,"No",84,76,56,59,68,68,61,77,63,57,59,66.1818181818182,66.1818181818182,66.1818181818182,56,0,1932
"Daniel H. Wells",1814-10-27,1877-10-06,1891-03-24,63,77,"No",68,70,68,58,56,33,58.8333333333333,58.8333333333333,58.8333333333333,58.8333333333333,58.8333333333333,58.8333333333333,58.8333333333333,58.8333333333333,33,11,1814
"David A. Bednar",1952-06-15,2004-10-02,2024-10-15,52,72,"No",80,82,80,72,75,87,75,72,63,71,63,74.5454545454545,74.5454545454545,74.5454545454545,63,0,1952
"David B. Haight",1906-09-02,1976-01-08,2004-07-31,70,98,"No",76,75,79,89,68,65,48,73,51,60,60,53,66.4166666666667,66.4166666666667,48,9,1906
"David O. McKay",1873-09-08,1906-04-09,1934-10-11,33,61,"Yes",66,57,74,49,44,34,36,74,45,50,52.9,52.9,52.9,52.9,34,0,1873
"David W. Patten",1799-11-14,1835-02-15,1838-10-25,36,39,"No",33,33,23,23,27,30,29,23,27.625,27.625,27.625,27.625,27.625,27.625,23,14,1799
"Delbert L. Stapley",1896-12-11,1950-10-05,1978-08-19,54,82,"No",74,71,78,82,74,51,51,55,49,53,61,63.5454545454545,63.5454545454545,63.5454545454545,49,4,1896
"Dieter F. Uchtdorf",1940-11-06,2004-10-02,2024-10-15,64,84,"No",80,82,80,72,75,87,75,72,63,71,52,73.5454545454545,73.5454545454545,73.5454545454545,52,2,1940
"Erastus Snow",1818-11-09,1849-02-12,1888-05-27,31,70,"No",41,40,31,41,37,39,27,34,36.25,36.25,36.25,36.25,36.25,36.25,27,1,1818
"Ezra T. Benson",1811-02-22,1846-07-16,1869-09-03,35,58,"No",45,45,39,37,29,39,42,50,40.75,40.75,40.75,40.75,40.75,40.75,29,1,1811
"Ezra Taft Benson",1899-08-04,1943-10-07,1985-11-10,44,86,"Yes",73,82,67,64,72,71,75,78,67,44,48,67.3636363636364,67.3636363636364,67.3636363636364,44,0,1899
"Francis M. Lyman",1840-01-12,1880-10-27,1916-11-18,40,76,"No",73,71,61,59,66,36,38,32,54.5,54.5,54.5,54.5,54.5,54.5,32,3,1840
"Franklin D. Richards I",1821-04-02,1849-02-12,1899-12-09,28,78,"No",41,40,31,41,37,39,30,34,36.625,36.625,36.625,36.625,36.625,36.625,30,0,1821
"Gary E. Stevenson",1955-08-06,2015-10-03,2024-10-15,60,69,"No",91,83,86,83,74,82,63,74,75,70,64,62,64,74.6923076923077,62,0,1955
"George A. Smith",1817-06-26,1839-04-26,1868-10-07,22,51,"No",37,37,34,28,32,27,40,30,32,33,33,33,33,33,27,0,1817
"George Albert Smith",1870-04-04,1903-10-08,1945-05-21,33,75,"Yes",63,55,71,46,71,30,45,41,31,50.3333333333333,50.3333333333333,50.3333333333333,50.3333333333333,50.3333333333333,30,2,1870
"George F. Richards",1861-02-23,1906-04-09,1950-08-08,45,89,"No",66,57,74,49,44,34,36,74,32,50,51.6,51.6,51.6,51.6,32,4,1861
