,entity,label,freq
0,July,DATE,1
1,September,DATE,2
2,Donald Trump,PERSON,1
3,"the Bureau of Alcohol, Tobacco",ORG,1
4,Firearms and Explosives,WORK_OF_ART,1
5,The Task Force,ORG,3
6,Donald J. Trump,PERSON,1
7,Monday,DATE,1
8,ATF,ORG,9
9,weeks,DATE,1
11,the Task Force,ORG,5
12,less than one hour,TIME,1
14,yesterday,DATE,1
16,first,ORDINAL,1
18,One,CARDINAL,2
20,July 13,DATE,2
21,Butler,GPE,3
22,Pennsylvania,GPE,2
23,Trump,ORG,6
24,Two,CARDINAL,2
25,third,ORDINAL,2
26,second,ORDINAL,3
27,Mike Kelly,PERSON,2
28,Jason Crow,PERSON,2
29,Oct. 3 and Nov. 6,DATE,2
32,seventeen,CARDINAL,2
34,three,CARDINAL,2
54,Congress,ORG,1
55,U.S.,GPE,1
56,Crooks,ORG,4
58,AR-15,PRODUCT,1
62,Corey Comperatore,PERSON,1
63,two,CARDINAL,1
64,David Dutch,PERSON,1
65,James Copenhaver,PERSON,1
66,Mike Waltz,PERSON,1
67,Fla.,GPE,1
68,Green Beret,FAC,1
69,13,CARDINAL,1
70,House,ORG,1
72,August,DATE,1
74,Belgium,GPE,1
75,New Zealand,GPE,1
76,Germany,GPE,1
78,Ryan Routh,PERSON,1
82,Trump International Golf Club,ORG,1
83,West Palm Beach,GPE,1
