entity,chapter_1,chapter_2,chapter_3,chapter_4,chapter_5,chapter_6,chapter_7,chapter_8,chapter_9,chapter_10,chapter_11,chapter_12,chapter_13,chapter_14,chapter_15,chapter_16,chapter_17,chapter_18,chapter_19,chapter_20,chapter_21,chapter_22,chapter_23,chapter_24,chapter_25,chapter_26,chapter_27,chapter_28,chapter_29,chapter_30,chapter_31,chapter_32,chapter_33,chapter_34,chapter_35,chapter_36,chapter_37,chapter_38,chapter_39,chapter_40
Shaddam IV,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Arrakis,9,11,12,14,6,3,3,4,4,6,1,4,5,22,3,0,3,1,3,8,6,8,9,1,5,7,0,3,1,4,11,0,21,2,8,8,3,4,3,10
Caladan,2,0,3,1,4,3,0,0,3,1,0,1,0,4,1,0,0,0,2,2,1,0,0,4,2,0,0,0,0,2,1,0,0,0,0,3,0,0,0,4
Dune,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Paul,46,1,90,53,3,5,18,23,2,40,7,16,60,38,5,1,24,4,4,71,0,84,0,77,1,43,46,11,74,65,1,53,24,55,188,100,40,74,0,207
Castle Caladan,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jessica,13,3,24,0,42,17,0,18,0,1,1,0,0,50,22,1,30,1,2,21,1,26,3,24,1,12,31,6,25,15,0,0,38,54,0,18,43,0,1,20
the Kwisatz Haderach,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
my gom jabbar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bene Gesserit Lady,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gom jabbar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
